title,start_date,start_time,end_date,end_time,is_all_day,summary,description,location,tags,categories,image,image_alt,is_starred,status,is_canceled,is_online,online_type,online_url,online_button_label,online_instructions,cost,related_content,has_registration,registrations_received
Student Art Exhibit Opening,03/06/2026,,03/06/2026,,1,Opening reception for the annual juried student art exhibit.,<p>Celebrate this year's juried student art exhibit with an opening reception featuring light refreshments.</p>,Fine Arts Gallery,Reception,Open to the Public|Academic Events,markus-spiske-RmvlD0oTsAo-unsplash.jpg,Framed artwork on display,,2,,,,,,,Free,,,
Study Abroad Fair,03/06/2026,11:00 AM,03/06/2026,2:00 PM,,Meet program representatives from over 20 countries.,<p>Talk with returning students and partner program representatives about semester and summer study abroad options.</p>,Student Union Ballroom,Symposium,Academic Events,atikh-bana-Ycds6emp7BA-unsplash.jpg,Tables set up for an information fair,,1,,,,,,,,,,
Men's Basketball vs. Cedar Ridge,03/06/2026,7:00 PM,03/06/2026,9:00 PM,,Rivalry night against Cedar Ridge.,"<p>A rivalry matchup against Cedar Ridge, with a student section giveaway at halftime.</p>",Fieldhouse Arena,Basketball|Men's Sports,Athletics,logan-weaver-lgnwvr-xtPs2_MlPYc-unsplash.jpg,Basketball players competing on the court,,1,,,,,,,Free,,,
Weekend Volunteer Cleanup Day,03/07/2026,,03/07/2026,,1,Help clean up the trail along the river.,"<p>Gloves, bags, and tools provided. Meet at the trailhead; all are welcome, no sign-up required.</p>",Riverside Trailhead,Volunteering,Community Outreach,matt-ragland-02z1I7gv4ao-unsplash.jpg,Volunteers working outdoors together,,1,,,,,,,Free,,,
Track & Field Invitational,03/07/2026,10:00 AM,03/07/2026,2:00 PM,,Season-opening invitational meet.,<p>The season-opening invitational brings in teams from across the region for a full day of events.</p>,Track & Field Complex,Track & Field,Athletics,braden-collum-9HI8UJMSdZA-unsplash.jpg,Runners competing on a track,,1,,,,,,,Free,,,
Community Service Day: Campus Beautification,03/08/2026,9:00 AM,03/08/2026,12:00 PM,,Planting and light landscaping across campus.,<p>Join facilities staff for a morning of planting and light landscaping around the main quad.</p>,Main Quad,Service|Volunteering,Community Outreach,logan-kuzyk-V3OYOpmY2Vk-unsplash.jpg,Volunteers planting flowers outdoors,,1,,,,,,,Free,,,
Guest Lecture: Ethics in AI,03/09/2026,4:00 PM,03/09/2026,5:30 PM,,A philosophy department speaker series event on emerging AI ethics questions.,"<p>Part of the philosophy department's speaker series, this talk explores emerging ethical questions in AI development.</p>","Humanities Building, Room 110",Lecture|Panel,Open to the Public|Academic Events,igor-omilaev-gVQLAbGVB6Q-unsplash.jpg,Speaker presenting to an audience,,1,,,,,,,,,,
Club Fair,03/09/2026,12:00 PM,03/09/2026,3:00 PM,,Browse and sign up for over 80 student organizations.,<p>Representatives from more than 80 registered student organizations table on the quad; sign up on the spot.</p>,Main Quad,Student Event|Undergraduate,Student Organizations,mikael-kristenson-3aVlWP-7bg8-unsplash.jpg,Tables set up for a student organization fair,,1,,,,,,,Free,,,
Spring Career Fair,03/10/2026,10:00 AM,03/10/2026,3:00 PM,,Meet recruiters from over 60 employers across industries.,<p>Connect with recruiters from over 60 employers. Bring copies of your resume and dress professionally.</p>,Student Union Ballroom,Service,Open to the Public|Community Outreach,product-school-5H0p6JPUHbI-unsplash.jpg,Students in conversation around a table,1,1,,,,,,,,,1,"[{""firstname"": ""Jordan"", ""lastname"": ""Lee"", ""email"": ""jordan.lee@example.edu"", ""attending"": 1, ""status"": 1}, {""firstname"": ""Aisha"", ""lastname"": ""Bello"", ""email"": ""aisha.bello@example.edu"", ""attending"": 1}]"
Chamber Music Recital,03/10/2026,7:00 PM,03/10/2026,8:15 PM,,An evening of chamber music performed by music department students.,<p>Music department students perform a program of chamber works spanning three centuries.</p>,Recital Hall,Music,Open to the Public|Performances,larisa-birta-slbOcNlWNHA-unsplash.jpg,Musicians performing on stage,,1,,,,,,,$5 suggested donation,,,
Women's Volleyball vs. Lakeside,03/10/2026,6:00 PM,03/10/2026,8:00 PM,,Conference matchup against Lakeside.,"<p>A conference matchup against Lakeside, with a postgame meet-the-team session.</p>",Fieldhouse Arena,Volleyball|Women's Sports,Athletics,taiki-ishikawa-ZKFNj-Hc2Q0-unsplash.jpg,Volleyball players competing on the court,,1,,,,,,,Free,,,
Resume Workshop,03/11/2026,2:00 PM,03/11/2026,3:30 PM,,Hands-on workshop to polish your resume before the career fair.,<p>Bring a draft of your resume for hands-on feedback from career services staff.</p>,Career Services Suite,Seminar,Academic Events,mimi-thian-vdXMSiX-n6M-unsplash.jpg,Person reviewing documents at a desk,,1,,1,1,https://example.edu/webconference/resume-workshop,Join Online,,,,1,"[{""firstname"": ""Kayla"", ""lastname"": ""Nguyen"", ""email"": ""kayla.nguyen@example.edu"", ""attending"": 1}, {""firstname"": ""Owen"", ""lastname"": ""Fitzgerald"", ""email"": ""owen.fitzgerald@example.edu"", ""attending"": 0, ""is_cancelled"": 1, ""comments_by_registrant"": ""Something came up, sorry!""}]"
Meditation & Mindfulness Session,03/11/2026,12:00 PM,03/11/2026,1:00 PM,,A guided midday break to reset before afternoon classes.,"<p>A guided drop-in session led by the wellness center. Mats provided, no experience necessary.</p>",Wellness Center Studio,Wellness,Community Outreach,naassom-azevedo-Q_Sei-TqSlc-unsplash.jpg,Person sitting quietly outdoors,,1,,,,,,,Free,,,
Intramural Kickball Finals,03/12/2026,1:00 PM,03/12/2026,3:00 PM,,Championship game of the spring intramural kickball league.,<p>Come cheer on the two finalist teams as they compete for the intramural kickball championship.</p>,Intramural Fields,Men's Sports|Women's Sports,Open to the Public|Athletics,alfonso-scarpa-O8p7DUgZ1KA-unsplash.jpg,Students playing kickball outdoors,,1,1,,,,,,Free,,,
Alumni Networking Night,03/12/2026,6:30 PM,03/12/2026,8:30 PM,,Meet alumni working across industries over light appetizers.,<p>An evening of casual networking with alumni from a range of industries. Light appetizers provided.</p>,Alumni Center,Service,Open to the Public|Community Outreach,vitaly-gariev-N9GPReiNkt0-unsplash.jpg,Guests in conversation at a reception,1,1,,,,,,,,,1,"[{""firstname"": ""Grace"", ""lastname"": ""Kim"", ""email"": ""grace.kim@example.edu"", ""attending"": 1, ""comments_by_registrant"": ""Excited to reconnect with folks from my old cohort!""}, {""firstname"": ""Teo"", ""lastname"": ""Alvarez"", ""email"": ""teo.alvarez@example.edu"", ""attending"": 1}, {""firstname"": ""Nina"", ""lastname"": ""Petrov"", ""email"": ""nina.petrov@example.edu"", ""attending"": 1}]"
Panel: Careers in Public Health,03/12/2026,4:00 PM,03/12/2026,5:30 PM,,Alumni panel on public health career paths.,"<p>A panel of alumni working in public health discuss career paths, followed by audience questions.</p>","Health Sciences Building, Room 150",Panel,Academic Events,nathan-dumlao-ewGMqs2tmJI-unsplash.jpg,Panelists seated in front of an audience,,1,,,,,,,,,,
Weekend Leadership Conference,03/13/2026,,03/15/2026,,1,A weekend of workshops and keynotes on student leadership.,"<p>A weekend-long conference featuring workshops, keynote speakers, and networking for student leaders from across the region.</p>",Student Union Ballroom,Conference,Open to the Public|Academic Events,owen-yin-qfTrgRUXLWA-unsplash.jpg,Attendees seated at a conference session,1,1,,,,,,,,,1,"[{""firstname"": ""Devon"", ""lastname"": ""Marsh"", ""email"": ""devon.marsh@example.edu"", ""attending"": 1}, {""firstname"": ""Chloe"", ""lastname"": ""Yamada"", ""email"": ""chloe.yamada@example.edu"", ""attending"": 1}, {""firstname"": ""Isaiah"", ""lastname"": ""Brooks"", ""email"": ""isaiah.brooks@example.edu"", ""attending"": 1, ""is_waitlisted"": 1}]"
Jazz Ensemble Performance,03/13/2026,7:30 PM,03/13/2026,9:00 PM,,The campus jazz ensemble performs a program of standards and original arrangements.,<p>The campus jazz ensemble performs a program of standards and original student arrangements.</p>,Recital Hall,Music,Open to the Public|Performances,jens-thekkeveettil-dBWvUqBoOU8-unsplash.jpg,Musicians performing on stage,,1,,,,,,,$5 suggested donation,,,
Weekend Farmers Market,03/14/2026,,03/15/2026,,1,"Weekend farmers market featuring local vendors, spanning Saturday into Sunday.","<p>Local vendors sell produce, baked goods, and crafts across the weekend on the Campus Green.</p>",Campus Green,Volunteering|Service,Open to the Public|Community Outreach,priscilla-du-preez-ggeZ9oyI-PE-unsplash.jpg,Outdoor market stalls,,2,,,,,,,Free,,,
Last Day to Withdraw with W Grade,03/16/2026,,03/16/2026,,1,Final day to withdraw from a course with a W grade instead of a letter grade.,<p>Withdrawals submitted after 11:59pm today will receive a letter grade rather than a W.</p>,Registrar's Office,,Dates & Deadlines,,,,1,,,,,,,,,,
Guest Lecture: The Future of Work,03/16/2026,4:00 PM,03/16/2026,5:30 PM,,An economist's take on automation and the changing labor market.,"<p>A visiting economist discusses automation, remote work, and what it means for new graduates entering the labor market.</p>","Business Building, Room 220",Lecture,Academic Events,priscilla-du-preez-XkKCui44iM0-unsplash.jpg,Speaker presenting to an audience,,1,,,,,,,,,,
Trivia Night,03/17/2026,8:00 PM,03/17/2026,10:00 PM,,Team trivia with prizes for the top three teams.,<p>Gather a team of up to six and compete for prizes across eight rounds of trivia.</p>,"Student Union, Room 220",Student Event,Student Organizations,sean-benesh-1D9aRAjKtGA-unsplash.jpg,Students gathered around tables,,1,,,,,,,Free,,,
Men's Basketball vs. Fairview,03/17/2026,7:00 PM,03/17/2026,9:00 PM,,Conference matchup against Fairview.,"<p>A conference matchup against Fairview, with a giveaway for the first 200 students.</p>",Fieldhouse Arena,Basketball|Men's Sports,Athletics,logan-weaver-lgnwvr-xtPs2_MlPYc-unsplash.jpg,Basketball players competing on the court,,1,,,,,,,Free,,,
Sustainability Symposium,03/17/2026,10:00 AM,03/17/2026,3:00 PM,,Student and faculty research on campus sustainability initiatives.,"<p>A day of short talks and poster sessions on campus sustainability research, from energy use to waste reduction.</p>",Science Hall Atrium,Symposium,Academic Events,quilia-1-aA2Fadydc-unsplash.jpg,Attendees seated at a symposium session,,1,,,,,,,,,,
Blood Drive,03/18/2026,10:00 AM,03/18/2026,4:00 PM,,"Walk-ins welcome, appointments preferred.","<p>Hosted with the regional blood center. Walk-ins are welcome, though appointments are preferred to minimize wait time.</p>","Student Union, Room 150",Service,Community Outreach,quilia-zFSo6bnZJTw-unsplash.jpg,Volunteers staffing a table indoors,,1,,,,,,,Free,,,
String Quartet Showcase,03/18/2026,7:00 PM,03/18/2026,8:15 PM,,Student string quartets perform a mixed program.,<p>Four student string quartets perform a mixed program spanning classical and contemporary works.</p>,Recital Hall,Music,Open to the Public|Performances,manuel-nageli-NsgsQjHA1mM-unsplash.jpg,Musicians performing on stage,,1,,,,,,,$5 suggested donation,,,
Women's Soccer vs. Brookfield,03/19/2026,6:00 PM,03/19/2026,8:00 PM,,Conference matchup against Brookfield.,<p>A conference matchup against Brookfield under the lights at the Athletics Complex.</p>,"Athletics Complex, Soccer Field",Soccer|Women's Sports,Athletics,jeffrey-f-lin-y_7SzG5ohBc-unsplash.jpg,Soccer players competing on the field,,1,,,,,,,Free,,,
Panel: Navigating Grad School Applications,03/19/2026,4:00 PM,03/19/2026,5:30 PM,,Faculty and recent grads share advice on graduate applications.,"<p>Faculty and recent graduate school admits share advice on personal statements, recommendations, and timelines.</p>","Humanities Building, Room 110",Panel,Academic Events,robert-bye-CyvK_Z2pYXg-unsplash.jpg,Panelists seated in front of an audience,,1,,,,,,,,,,
Food Pantry Volunteer Shift,03/19/2026,3:00 PM,03/19/2026,6:00 PM,,Help sort and stock the campus food pantry.,<p>Help sort donations and stock shelves at the campus food pantry. No experience necessary.</p>,Campus Food Pantry,Volunteering,Community Outreach,roel-dierckens-LzGjfk1SeDw-unsplash.jpg,Volunteers sorting food donations,,1,,,,,,,Free,,,
Spring Concert,03/20/2026,7:30 PM,03/20/2026,9:00 PM,,The campus orchestra performs its annual spring concert.,"<p>The campus orchestra performs its annual spring concert, featuring a guest soloist from the music faculty.</p>",Recital Hall,Music,Open to the Public|Performances,manuel-nageli-7CcPLtywRso-unsplash.jpg,Musicians performing on stage,,1,,,,,,,$5 suggested donation,,,
Open Mic Comedy Night,03/20/2026,8:00 PM,03/20/2026,10:00 PM,,Student comedians take the stage for five-minute sets.,"<p>Sign-ups start at 7:30pm. Five-minute sets, all levels of experience welcome.</p>",The Underground Coffeehouse,Student Event,Student Organizations,matthew-jungling-l3abtqeY38E-unsplash.jpg,Person performing on a small stage,,1,,,,,,,Free,,,
Women's Lacrosse vs. Eastbrook,03/21/2026,1:00 PM,03/21/2026,3:00 PM,,Conference matchup against Eastbrook.,<p>A conference matchup against Eastbrook on the main athletics field.</p>,"Athletics Complex, Turf Field",Women's Sports,Athletics,jeffrey-f-lin-ghbW5qujVdU-unsplash.jpg,Lacrosse players competing on the field,,1,,,,,,,Free,,,
Regional Robotics Competition,03/21/2026,,03/22/2026,,1,Teams from across the region compete over the weekend.,<p>Teams from across the region bring their robots to compete in a weekend-long series of head-to-head matches.</p>,Fieldhouse Arena,Conference,Open to the Public|Academic Events,rut-miit-oTglG1D4hRA-unsplash.jpg,Students working on a robotics project,1,1,,,,,,,,,1,"[{""firstname"": ""Wei"", ""lastname"": ""Zhang"", ""email"": ""wei.zhang@example.edu"", ""attending"": 1}, {""firstname"": ""Amara"", ""lastname"": ""Johnson"", ""email"": ""amara.johnson@example.edu"", ""attending"": 1, ""comments_by_registrant"": ""Bringing our whole team, can we get an extra table?""}, {""firstname"": ""Lucas"", ""lastname"": ""Ferreira"", ""email"": ""lucas.ferreira@example.edu"", ""attending"": 1}]"
Track & Field Conference Championships,03/22/2026,10:00 AM,03/22/2026,4:00 PM,,Conference championship meet hosted on the home track.,<p>The conference championship meet comes to the home track for a full day of finals.</p>,Track & Field Complex,Track & Field,Athletics,braden-collum-9HI8UJMSdZA-unsplash.jpg,Runners competing on a track,,1,,,,,,,Free,,,
Alumni Mentorship Kickoff,03/23/2026,5:00 PM,03/23/2026,6:30 PM,,Meet your mentor and kick off the spring mentorship program.,<p>New mentor-mentee pairs meet for the first time and hear from program alumni about making the most of it.</p>,Alumni Center,Service,Open to the Public|Community Outreach,2h-media-rqZaKEjRrdQ-unsplash.jpg,Guests in conversation at a reception,,1,,,,,,,Free,,,
Guest Lecture: Data Privacy in the Digital Age,03/23/2026,4:00 PM,03/23/2026,5:30 PM,,A computer science faculty talk on data privacy and consent.,<p>A computer science faculty member discusses data privacy regulation and what it means for everyday consumers.</p>,"Science Hall, Room 204",Lecture,Academic Events,sai-kiran-belana-8L0NwtD6reg-unsplash.jpg,Speaker presenting to an audience,,1,,,,,,,,,,
Graduate School Fair,03/24/2026,11:00 AM,03/24/2026,2:00 PM,,Meet representatives from over 40 graduate programs.,<p>Representatives from more than 40 graduate programs answer questions about admissions and funding.</p>,Student Union Ballroom,Symposium,Academic Events,sangga-rima-roman-selia-bgQgAKagQB4-unsplash.jpg,Tables set up for an information fair,,1,,,,,,,,,,
Men's Volleyball vs. Northgate,03/24/2026,7:00 PM,03/24/2026,9:00 PM,,Conference matchup against Northgate.,<p>A conference matchup against Northgate to close out the regular home schedule.</p>,Fieldhouse Arena,Volleyball|Men's Sports,Athletics,taiki-ishikawa-ZKFNj-Hc2Q0-unsplash.jpg,Volleyball players competing on the court,,1,,,,,,,Free,,,
Poetry & Prose Open Mic,03/24/2026,8:00 PM,03/24/2026,10:00 PM,,Share original poetry or short prose.,"<p>Hosted by the campus literary magazine. Sign-ups start at 7:30pm, five-minute readings.</p>",The Underground Coffeehouse,Student Event,Student Organizations,matthew-jungling-l3abtqeY38E-unsplash.jpg,Person reading from a notebook on stage,,1,,,,,,,Free,,,
Reading Day – No Classes,03/25/2026,,03/25/2026,,1,No classes are held campus-wide to allow time for exam preparation.,<p>Classes are not held today so students can prepare for upcoming exams and assignments. Campus offices remain open.</p>,,Undergraduate|Graduate,Academic Calendar,,,,1,,,,,,,,,,
Wellness Fair,03/25/2026,11:00 AM,03/25/2026,2:00 PM,,"Free screenings, stress-relief activities, and wellness resources.",<p>Campus health services and local wellness vendors offer free screenings and stress-relief activities.</p>,Student Union Ballroom,Wellness,Community Outreach,jared-rice-xce530fBHrk-unsplash.jpg,Tables set up for a wellness fair,,1,,,,,,,Free,,,
Jazz Ensemble Performance,03/26/2026,7:30 PM,03/26/2026,9:00 PM,,A second spring performance from the campus jazz ensemble.,<p>The campus jazz ensemble returns with a fresh set list ahead of its regional tour.</p>,Recital Hall,Music,Open to the Public|Performances,jens-thekkeveettil-dBWvUqBoOU8-unsplash.jpg,Musicians performing on stage,,1,,,,,,,$5 suggested donation,,,
Women's Basketball Senior Night,03/26/2026,7:00 PM,03/26/2026,9:00 PM,,Final home game honoring the graduating seniors.,<p>The final home game of the season honors the team's graduating seniors before tip-off.</p>,Fieldhouse Arena,Basketball|Women's Sports,Athletics,hannah-gibbs-WOC-DFTx8IY-unsplash.jpg,Basketball players competing on the court,,1,,,,,,,Free,,,
Panel: Entrepreneurship 101,03/26/2026,4:00 PM,03/26/2026,5:30 PM,,Student founders share what they wish they'd known.,<p>Student and alumni founders share lessons learned launching campus and post-graduation ventures.</p>,"Business Building, Room 220",Panel,Academic Events,sincerely-media-dGxOgeXAXm8-unsplash.jpg,Panelists seated in front of an audience,,1,,,,,,,,,,
Campus Closed: Spring Holiday,03/27/2026,,03/27/2026,,1,Campus offices are closed for the spring holiday.,<p>Campus offices and most facilities are closed for the spring holiday. Residence halls remain open.</p>,,Undergraduate|Graduate,Academic Calendar,,,,1,,,,,,,,,,
Student Film Festival Screening,03/27/2026,7:00 PM,03/27/2026,9:30 PM,,A showcase of short films made by film students this year.,"<p>A showcase of short films made by film students this year, followed by a Q&amp;A with the filmmakers.</p>","Media Arts Building, Screening Room",Film,Open to the Public|Performances,zhifei-zhou-XO4A1pWBEbE-unsplash.jpg,Audience seated in a screening room,,1,,,,,,,Free,,,
End-of-Month Trivia Night,03/28/2026,8:00 PM,03/28/2026,10:00 PM,,Team trivia night with prizes for the top three teams.,<p>Gather a team of up to six and compete for prizes across eight rounds of trivia.</p>,"Student Union, Room 220",Student Event,Student Organizations,sean-benesh-1D9aRAjKtGA-unsplash.jpg,Students gathered around tables,,1,,,,,,,Free,,1,"[{""firstname"": ""Leo"", ""lastname"": ""Grant"", ""email"": ""leo.grant@example.edu"", ""attending"": 1, ""status"": 1}, {""firstname"": ""Mia"", ""lastname"": ""Sorensen"", ""email"": ""mia.sorensen@example.edu"", ""attending"": 1, ""comments_by_registrant"": ""Can our team name be \""Quiz Quiz Bang Bang\""?""}]"
Coed Intramural Basketball Tournament,03/28/2026,1:00 PM,03/28/2026,4:00 PM,,Single-elimination coed intramural basketball tournament.,<p>Coed teams face off in a single-elimination bracket to close out the intramural basketball season.</p>,"Recreation Center, Court 1",Basketball|Men's Sports|Women's Sports,Athletics,ludo-poire-SjhS5WTXo4Q-unsplash.jpg,Basketball players competing on the court,,1,,,,,,,Free,,,
Community Garden Volunteer Day,03/29/2026,9:00 AM,03/29/2026,12:00 PM,,Help plant this season's crop in the campus community garden.,<p>Help prep beds and plant this season's crop in the campus community garden. Tools and gloves provided.</p>,Community Garden,Volunteering,Community Outreach,quilia-qo6_mo9dsYg-unsplash.jpg,Volunteers working in a garden,,1,,,,,,,Free,,,
Spring Preview Day: Welcome Convocation,03/30/2026,10:00 AM,03/30/2026,11:30 AM,,A welcome ceremony kicking off Spring Preview Day for admitted and prospective students.,"<p>Spring Preview Day opens with a welcome convocation for admitted students, their families, and current students serving as hosts for the day. The provost and a handful of current students offer short remarks about what to expect from the semester ahead.</p><p>Doors open thirty minutes before the program begins, and overflow seating with a livestream is available for guests who arrive after the main hall fills. A reception with light refreshments follows immediately outside on the quad, weather permitting.</p>",Main Auditorium,Orientation,Open to the Public|Academic Calendar,tony-pham-FUmDe-Bx1LA-unsplash.jpg,Guests gathered for a welcome ceremony,1,1,,,,,,,Free,,,
Campus Resource Fair,03/30/2026,11:30 AM,03/30/2026,1:30 PM,,"Meet staff from admissions, financial aid, housing, and student life all in one place.","<p>Right after convocation, staff from across campus set up tables on the quad to answer questions about admissions, financial aid, housing, and student organizations.</p>",Main Quad,Orientation|Student Event,Student Organizations|Open to the Public,mikael-kristenson-3aVlWP-7bg8-unsplash.jpg,Tables set up for an information fair,,1,,,,,,,Free,,,
Thesis Defense: Physics — Renata Kowalski,03/31/2026,2:00 PM,03/31/2026,3:30 PM,,"A doctoral defense on low-temperature superconducting materials, open to the public.","<p>Renata Kowalski defends her dissertation on the behavior of superconducting materials at ultra-low temperatures, examining how small changes in crystal structure affect conductivity thresholds.</p><p>The defense opens with a public presentation before the committee moves to closed questioning. Guests are welcome to attend the public portion and are asked to arrive a few minutes early to find seating.</p>","Physics Building, Room 310",Thesis Defense,Academic Events,quilia-1-aA2Fadydc-unsplash.jpg,A presenter speaking at a defense session,,1,,,,,,,,,,
Men's Tennis vs. Westfield,03/31/2026,4:00 PM,03/31/2026,6:00 PM,,Conference matchup against Westfield.,<p>A conference matchup against Westfield on the outdoor courts.</p>,Tennis Complex,Tennis|Men's Sports,Athletics,hoi-pham-eLZwsPO8cCQ-unsplash.jpg,A tennis player mid-serve on the court,,1,,,,,,,Free,,,
Chemistry Colloquium: Catalysis at the Nanoscale,04/01/2026,4:00 PM,04/01/2026,5:00 PM,,A visiting chemist discusses recent advances in nanoscale catalyst design.,"<p>This week's colloquium features a visiting chemist presenting recent work on nanoscale catalyst design, including how tuning particle size and surface structure can improve reaction efficiency in industrial processes.</p><p>The talk is aimed at a general chemistry audience, with plenty of time reserved for questions from students and faculty. Coffee and light snacks are available beforehand in the lobby.</p>","Science Hall, Room 118",Colloquium,Academic Events,dom-fou-YRMWVcdyhmI-unsplash.jpg,A researcher presenting at a lectern,,1,,,,,,,,,,
Women's Sailing at Regional Invitational,04/01/2026,,04/01/2026,,1,A full day of racing at the regional invitational regatta.,"<p>The team competes in a full day of fleet racing at the regional invitational, hosted this year at a neighboring club's marina.</p>",Offsite — Regional Sailing Center,Sailing|Women's Sports,Athletics,ed-wingate-80lWoMl9guA-unsplash.jpg,Sailboats racing on open water,,1,,,,,,,,,,
Guest Lecture: The Ethics of Data-Driven Medicine,04/02/2026,4:00 PM,04/02/2026,5:30 PM,,A bioethicist examines the promises and risks of algorithmic decision-making in healthcare.,"<p>As hospitals increasingly rely on predictive algorithms to guide treatment decisions, questions about fairness, transparency, and accountability become harder to avoid. This talk surveys where those questions currently stand.</p><p>The speaker draws on several real-world case studies to illustrate both the promise of data-driven diagnosis tools and the ways bias can creep into training data without anyone noticing.</p><p>A moderated Q&amp;A follows the talk, and light refreshments are available afterward for anyone who wants to continue the conversation informally.</p>","Humanities Building, Room 110",Lecture,Open to the Public|Academic Events,priscilla-du-preez-XkKCui44iM0-unsplash.jpg,Speaker presenting to an audience,,1,,,,,,,,,,
Study Abroad 101: Semester Programs Info Session,04/02/2026,12:00 PM,04/02/2026,1:00 PM,,An overview of semester-long study abroad options and how to apply.,"<p>This info session walks through the basics of applying for a semester abroad: how credit transfer works, what financial aid follows you overseas, and typical application timelines for popular destinations.</p><p>Staff from the study abroad office stick around after the formal presentation to answer program-specific questions one-on-one.</p>","Student Union, Room 214",Seminar|Study Abroad,Academic Events,kyle-glenn-nXt5HtLmlgE-unsplash.jpg,A world map with pins marking destinations,,1,,1,1,https://example.edu/webconference/study-abroad-101,Join Online,,,,,
